Borough,Ward,Geog level,Constituency,Area Code,Turnout,,,London Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London Member,,,,,,,,,,,,,,,,,,,Constituency Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1st choice,,,,,,,,,,,,,1st choice spoils,,,,,,2nd choice,,,,,,,,,,,,,2nd choice spoils,,,,Total Good,,,,,,,,,,,,,Spoils,,,,,,Total good,,,,,,,,,,,,,Spoils,,,,,,Candidate names,,,,,,,,,,,
Tower Hamlets,Spitalfields And Banglatown,Ward,City & East,E05009333,"2,807","6,714",42%,Sadiq Aman Khan - Labour Party,1818,342,217,80,20,14,97,6,42,7,57,3,2703,0,0,45,3,56,104,394,127,474,221,57,11,249,18,76,22,172,7,1828,872,0,3,875,25,11,11,128,14,301,317,1664,97,12,46,110,2736,0,0,54,1,16,71,1658,333,368,185,51,11,94,33,,,,,2733,0,0,62,1,11,74,Unmesh Desai,Christopher James Chapman,Rachel Collinson,Elaine Sheila Bagshaw,Peter James Harris,Aaron Anthony Jose Hasan D'souza,Rayne Mickail,Amina May Kay Gichinga,,,,
Tower Hamlets,St. Dunstan`S,Ward,City & East,E05009329,"3,379","7,121",47%,Sadiq Aman Khan - Labour Party,2399,318,188,76,42,10,112,29,33,7,62,0,3276,0,0,45,3,54,102,551,151,534,226,89,21,455,37,85,17,192,19,2377,896,0,3,899,21,35,21,119,11,273,277,2199,134,10,78,100,3278,0,0,63,4,33,100,2197,295,336,172,108,17,121,22,,,,,3268,0,0,86,2,23,111,Unmesh Desai,Christopher James Chapman,Rachel Collinson,Elaine Sheila Bagshaw,Peter James Harris,Aaron Anthony Jose Hasan D'souza,Rayne Mickail,Amina May Kay Gichinga,,,,
Tower Hamlets,St. Katharine`S And Wapping,Ward,City & East,E05009330,"2,872","6,317",45%,Sadiq Aman Khan - Labour Party,1238,955,222,189,46,6,41,16,24,3,77,7,2824,0,0,20,2,26,48,424,222,528,483,196,14,167,30,92,22,250,14,2442,380,0,2,382,33,18,10,244,13,830,297,1053,73,11,118,140,2840,0,0,21,0,11,32,1045,867,345,377,124,7,60,9,,,,,2834,0,0,25,2,10,37,Unmesh Desai,Christopher James Chapman,Rachel Collinson,Elaine Sheila Bagshaw,Peter James Harris,Aaron Anthony Jose Hasan D'souza,Rayne Mickail,Amina May Kay Gichinga,,,,
Tower Hamlets,St. Peter`S BG,Ward,City & East,E05009331,"4,710","10,227",46%,Sadiq Aman Khan - Labour Party,3093,450,493,129,73,20,125,33,36,7,111,7,4577,0,1,49,1,82,133,819,195,1039,321,140,40,410,40,156,24,368,18,3570,996,0,11,1007,48,41,26,188,23,318,671,2757,146,21,169,216,4624,0,1,52,2,30,85,2695,359,882,264,205,11,134,60,,,,,4610,0,0,71,1,24,96,Unmesh Desai,Christopher James Chapman,Rachel Collinson,Elaine Sheila Bagshaw,Peter James Harris,Aaron Anthony Jose Hasan D'souza,Rayne Mickail,Amina May Kay Gichinga,,,,
Tower Hamlets,Stepney Green,Ward,City & East,E05009334,"3,208","6,840",47%,Sadiq Aman Khan - Labour Party,2208,329,201,76,56,11,106,27,33,2,52,1,3102,0,0,49,4,53,106,463,145,459,159,94,27,376,41,72,14,150,14,2014,1085,0,3,1088,28,30,24,114,22,230,275,2048,127,14,116,91,3119,0,0,51,2,35,88,2044,257,356,154,151,21,119,17,,,,,3119,0,1,65,6,16,88,Unmesh Desai,Christopher James Chapman,Rachel Collinson,Elaine Sheila Bagshaw,Peter James Harris,Aaron Anthony Jose Hasan D'souza,Rayne Mickail,Amina May Kay Gichinga,,,,
Tower Hamlets,Postal Votes - Tower Hamlets,Postal,City & East,E09000030 (Postal),"17,374","27,919",62%,Sadiq Aman Khan - Labour Party,9358,4278,858,671,478,94,747,202,118,21,365,40,17230,0,6,69,8,61,144,2627,1514,2653,2155,1054,225,2484,412,369,141,1101,142,14877,2341,0,12,2353,137,231,94,885,100,3720,1197,8537,946,74,774,508,17203,0,4,57,6,52,119,8370,3982,1601,1188,989,57,965,73,,,,,17225,0,3,58,5,40,106,Unmesh Desai,Christopher James Chapman,Rachel Collinson,Elaine Sheila Bagshaw,Peter James Harris,Aaron Anthony Jose Hasan D'souza,Rayne Mickail,Amina May Kay Gichinga,,,,
Tower Hamlets,Weavers,Ward,City & East,E05009335,"3,007","7,007",43%,Sadiq Aman Khan - Labour Party,1831,367,316,106,72,11,79,18,39,2,92,2,2935,0,2,27,0,43,72,512,138,688,249,84,30,235,24,100,19,266,9,2354,578,2,1,581,28,23,25,163,14,296,417,1623,100,10,117,137,2953,0,0,45,0,9,54,1620,306,523,210,155,8,95,30,,,,,2947,0,1,50,2,5,58,Unmesh Desai,Christopher James Chapman,Rachel Collinson,Elaine Sheila Bagshaw,Peter James Harris,Aaron Anthony Jose Hasan D'souza,Rayne Mickail,Amina May Kay Gichinga,,,,
Tower Hamlets,Whitechapel,Ward,City & East,E05009336,"3,568","8,446",42%,Sadiq Aman Khan - Labour Party,2301,491,248,130,30,8,117,14,39,6,69,6,3459,0,0,48,1,59,108,645,195,599,293,90,20,415,14,108,22,247,18,2666,791,0,2,793,21,16,16,187,11,465,352,2084,151,13,56,120,3492,0,0,52,0,24,76,2050,486,435,255,70,15,146,31,,,,,3488,0,0,58,4,17,79,Unmesh Desai,Christopher James Chapman,Rachel Collinson,Elaine Sheila Bagshaw,Peter James Harris,Aaron Anthony Jose Hasan D'souza,Rayne Mickail,Amina May Kay Gichinga,,,,
Croydon,Addiscombe,Ward,Croydon & Sutton,E05000146,"3,874","9,743",40%,Sadiq Aman Khan - Labour Party,1754,1162,305,180,153,14,44,41,37,8,74,29,3801,0,0,18,2,53,73,553,355,809,443,314,53,128,86,113,40,250,29,3173,627,1,0,628,43,59,20,221,61,996,372,1613,42,13,270,117,3827,0,1,29,2,15,47,1715,1167,418,196,282,31,,,20,,,,3829,0,0,33,4,8,45,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Ashburton,Ward,Croydon & Sutton,E05000147,"3,940","8,917",44%,Zac Goldsmith - The Conservative Party,1438,1705,195,144,187,18,25,62,26,5,45,18,3868,0,0,21,0,50,71,421,355,629,455,497,53,107,123,87,44,191,29,2991,876,1,0,877,33,87,24,181,49,1421,251,1355,25,16,368,87,3897,0,0,27,1,14,42,1402,1584,290,152,417,31,,,23,,,,3899,0,0,33,3,5,41,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Bensham Manor,Ward,Croydon & Sutton,E05000148,"3,589","9,339",38%,Sadiq Aman Khan - Labour Party,2184,785,139,75,83,18,64,30,36,11,36,23,3484,0,1,39,4,61,105,584,365,586,305,155,36,231,65,93,55,225,40,2740,742,2,0,744,23,42,22,96,71,611,200,2198,68,16,135,63,3545,0,0,26,3,15,44,2246,702,251,115,163,45,,,20,,,,3542,0,0,33,3,11,47,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Broad Green,Ward,Croydon & Sutton,E05000149,"3,856","10,747",36%,Sadiq Aman Khan - Labour Party,2311,812,162,93,125,36,42,59,25,11,39,32,3747,0,0,29,2,78,109,724,464,454,244,182,72,216,86,96,42,186,42,2808,934,4,1,939,24,71,44,106,57,685,171,2328,48,11,196,57,3798,0,0,31,2,25,58,2380,763,218,104,231,55,,,48,,,,3799,0,0,45,1,11,57,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Coulsdon East,Ward,Croydon & Sutton,E05000150,"3,446","7,693",45%,Zac Goldsmith - The Conservative Party,668,1928,163,247,211,17,21,43,18,8,60,3,3387,0,0,14,1,44,59,294,373,489,576,572,63,70,145,67,45,176,29,2899,487,0,1,488,41,58,18,324,32,1664,226,539,25,15,397,82,3421,0,0,15,0,7,22,579,1893,261,263,394,16,,,15,,,,3421,0,0,18,0,5,23,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Coulsdon West,Ward,Croydon & Sutton,E05000151,"3,496","8,448",41%,Zac Goldsmith - The Conservative Party,842,1976,165,140,153,15,33,32,16,3,51,7,3433,0,0,18,1,44,63,348,380,552,525,502,40,103,121,66,31,207,33,2908,524,1,0,525,33,43,13,200,34,1759,224,707,42,10,316,80,3461,0,0,27,0,5,32,740,1929,234,205,321,22,,,10,,,,3461,0,0,28,2,2,32,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Croham,Ward,Croydon & Sutton,E05000152,"4,135","9,209",45%,Zac Goldsmith - The Conservative Party,1410,1830,235,278,115,11,39,24,32,7,62,20,4063,0,1,21,2,48,72,495,386,827,774,404,27,94,90,116,54,292,47,3606,455,1,1,457,59,35,15,382,55,1600,319,1216,41,13,257,122,4114,0,0,13,3,3,19,1288,1821,390,309,251,26,,,18,,,,4103,0,0,24,1,5,30,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Postal Votes - Croydon,Postal,Croydon & Sutton,E09000008 (Postal),"30,205","42,875",70%,Zac Goldsmith - The Conservative Party,10322,13820,1220,1124,1368,160,410,616,184,59,466,197,29946,0,12,106,5,136,259,3963,3499,4427,4542,3835,504,1251,1599,547,333,2175,341,27016,2916,6,8,2930,371,718,174,1428,429,12206,1489,9741,426,120,2218,673,29993,0,8,62,7,66,143,10172,13618,2020,1219,2540,295,,,166,,,,30030,0,5,68,6,30,109,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Fairfield,Ward,Croydon & Sutton,E05000153,"3,789","10,033",38%,Zac Goldsmith - The Conservative Party,1474,1523,231,187,101,16,44,23,28,3,72,33,3735,0,0,22,3,29,54,550,470,663,515,302,50,168,77,84,52,248,54,3233,500,1,1,502,33,27,19,240,48,1381,311,1348,52,16,175,94,3744,0,0,30,5,8,43,1383,1558,344,228,185,29,,,19,,,,3746,0,0,31,5,7,43,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Fieldway,Ward,Croydon & Sutton,E05000154,"1,635","6,149",27%,Sadiq Aman Khan - Labour Party,767,405,53,38,176,29,13,51,10,4,22,8,1576,0,0,18,0,40,58,298,154,164,108,201,71,43,85,46,11,83,18,1282,292,2,0,294,19,59,35,33,23,305,47,786,14,9,254,25,1609,0,0,10,0,16,26,813,359,68,34,303,11,,,28,,,,1616,0,0,10,0,8,18,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Heathfield,Ward,Croydon & Sutton,E05000155,"3,587","8,291",43%,Zac Goldsmith - The Conservative Party,946,1922,156,139,189,15,27,51,37,4,33,6,3525,0,0,18,2,42,62,309,395,555,411,549,69,100,122,66,44,176,31,2827,695,1,2,698,39,55,19,173,43,1682,195,869,32,5,371,68,3551,0,0,25,0,11,36,915,1835,221,134,404,21,,,14,,,,3544,0,0,35,2,6,43,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Kenley,Ward,Croydon & Sutton,E05000156,"3,750","8,889",42%,Zac Goldsmith - The Conservative Party,886,2092,183,167,174,12,37,39,31,2,56,9,3688,0,0,14,0,48,62,294,347,563,538,569,52,85,109,83,40,217,30,2927,761,0,0,761,45,54,17,243,47,1825,254,766,40,12,338,86,3727,0,0,16,0,7,23,755,2122,287,216,320,20,,,14,,,,3734,0,0,14,2,0,16,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,New Addington,Ward,Croydon & Sutton,E05000157,"1,697","6,153",28%,Sadiq Aman Khan - Labour Party,648,529,47,52,226,31,18,63,15,4,18,2,1653,0,0,14,0,29,43,193,190,184,128,248,102,43,97,52,19,89,8,1353,299,0,1,300,17,74,38,41,26,416,52,654,16,5,321,16,1676,0,0,10,0,11,21,673,488,64,37,363,14,,,36,,,,1675,0,0,15,0,5,20,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Norbury,Ward,Croydon & Sutton,E05000158,"4,090","9,669",42%,Sadiq Aman Khan - Labour Party,2141,1161,226,137,84,18,86,32,22,9,57,44,4017,0,0,29,1,41,71,628,399,688,408,290,36,327,85,94,51,301,43,3350,667,0,0,667,27,32,17,190,72,956,290,2030,112,16,203,94,4039,0,0,35,2,13,50,2145,1076,354,183,212,34,,,23,,,,4027,0,0,51,1,11,63,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Purley,Ward,Croydon & Sutton,E05000159,"3,793","8,856",43%,Zac Goldsmith - The Conservative Party,1065,2077,165,155,101,15,27,25,18,0,65,6,3719,0,0,20,2,52,74,375,377,665,572,512,41,137,100,91,32,243,35,3180,536,3,0,539,40,40,15,213,47,1838,266,859,45,16,276,104,3759,0,1,21,0,12,34,891,2070,285,211,267,21,,,12,,,,3757,0,0,30,2,4,36,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Sanderstead,Ward,Croydon & Sutton,E05000160,"4,012","8,200",49%,Zac Goldsmith - The Conservative Party,808,2480,185,191,162,10,22,38,20,6,25,2,3949,0,0,20,0,40,60,336,447,669,632,660,62,104,149,78,41,227,29,3434,515,0,0,515,34,62,21,244,30,2234,253,671,21,6,332,71,3979,0,0,24,0,9,33,695,2458,260,192,357,9,,,12,,,,3983,0,0,21,1,7,29,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Selhurst,Ward,Croydon & Sutton,E05000161,"3,398","10,124",34%,Sadiq Aman Khan - Labour Party,2001,681,179,98,95,19,60,39,30,10,60,26,3298,0,1,34,3,62,100,581,333,524,281,163,36,180,92,98,35,209,34,2566,731,1,0,732,29,51,15,111,93,544,207,2001,54,9,157,88,3359,0,0,22,0,17,39,2062,622,242,146,207,51,,,23,,,,3353,0,0,35,2,8,45,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Selsdon And Ballards,Ward,Croydon & Sutton,E05000162,"3,779","7,706",49%,Zac Goldsmith - The Conservative Party,715,2315,183,154,182,15,22,40,16,3,38,2,3685,0,0,18,3,73,94,306,431,599,532,653,60,83,152,62,33,154,26,3091,592,1,1,594,38,51,22,201,36,2049,228,635,27,4,399,67,3757,0,0,11,2,9,22,630,2277,254,183,383,12,,,18,,,,3757,0,0,17,3,2,22,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Shirley,Ward,Croydon & Sutton,E05000163,"4,103","8,876",46%,Zac Goldsmith - The Conservative Party,1199,2188,146,129,179,20,21,67,27,3,42,3,4024,0,0,29,0,48,77,333,387,589,523,615,70,108,132,87,44,207,34,3129,894,1,0,895,23,75,28,182,56,1898,180,1144,29,13,374,51,4053,0,0,41,1,8,50,1160,2099,242,135,370,22,,,22,,,,4050,0,0,41,4,6,51,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,South Norwood,Ward,Croydon & Sutton,E05000164,"4,111","9,814",42%,Sadiq Aman Khan - Labour Party,2278,875,340,196,97,14,42,29,29,4,104,15,4023,0,0,26,1,60,87,631,321,1055,505,233,37,155,78,107,41,364,29,3556,466,0,1,467,42,50,14,244,65,711,494,2054,35,21,175,159,4064,0,0,30,1,16,47,2248,788,512,252,211,36,,,17,,,,4064,0,0,37,2,7,46,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Thornton Heath,Ward,Croydon & Sutton,E05000165,"3,579","9,453",38%,Sadiq Aman Khan - Labour Party,2171,723,182,95,73,14,60,48,29,6,56,29,3486,0,0,33,1,57,91,594,307,640,342,181,45,211,85,108,65,246,25,2849,634,1,2,637,26,51,12,123,99,557,233,2109,65,11,144,81,3511,0,0,43,1,22,66,2196,637,313,125,173,44,,,29,,,,3517,0,0,46,1,15,62,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Upper Norwood,Ward,Croydon & Sutton,E05000166,"4,085","9,613",42%,Sadiq Aman Khan - Labour Party,2203,1010,315,139,89,11,54,24,42,11,95,23,4016,0,1,25,2,41,69,546,326,880,430,243,37,213,68,139,32,290,40,3244,771,0,1,772,43,44,14,195,61,817,433,2005,64,22,191,156,4045,0,0,22,2,11,35,2138,932,506,202,201,34,,,24,,,,4037,0,0,35,1,9,45,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Waddon,Ward,Croydon & Sutton,E05000167,"3,386","9,579",35%,Sadiq Aman Khan - Labour Party,1477,1132,199,120,166,18,43,57,20,9,56,27,3324,0,0,15,1,46,62,443,385,620,353,313,51,156,110,102,37,207,36,2813,510,0,1,511,29,76,16,140,58,953,247,1397,57,9,267,95,3344,0,1,23,1,16,41,1469,1109,278,157,291,27,,,18,,,,3349,0,0,32,0,4,36,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,West Thornton,Ward,Croydon & Sutton,E05000168,"3,792","9,522",40%,Sadiq Aman Khan - Labour Party,2325,827,119,92,75,24,68,36,29,12,38,25,3670,0,0,71,3,48,122,767,477,429,280,162,33,264,70,92,54,227,42,2897,770,1,2,773,16,43,30,106,75,695,129,2348,76,10,122,54,3704,0,0,55,2,30,87,2407,761,198,120,147,42,,,32,,,,3707,0,0,60,1,22,83,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Croydon,Woodside,Ward,Croydon & Sutton,E05000169,"3,569","9,588",37%,Sadiq Aman Khan - Labour Party,2015,836,212,126,111,19,37,34,41,10,54,9,3504,0,0,18,2,45,65,526,334,782,385,259,36,159,86,110,36,276,33,3022,481,1,0,482,27,53,16,144,93,660,295,1888,47,12,213,81,3529,0,0,26,0,13,39,2031,754,328,138,236,31,,,17,,,,3535,0,0,22,3,8,33,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,Beddington North,Ward,Croydon & Sutton,E05000555,"2,507","6,538",38%,Zac Goldsmith - The Conservative Party,795,985,127,232,162,25,29,28,17,4,33,7,2444,0,0,12,2,48,62,255,261,366,454,377,48,77,96,57,29,101,19,2140,296,1,7,304,25,44,23,372,41,735,160,660,34,8,334,56,2492,0,0,9,0,6,15,660,742,207,474,367,18,,,21,,,,2489,0,0,12,0,6,18,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,Beddington South,Ward,Croydon & Sutton,E05000556,"2,518","6,732",37%,Zac Goldsmith - The Conservative Party,639,1143,77,308,175,20,24,43,23,3,18,7,2480,0,0,14,0,24,38,290,283,275,549,352,52,64,85,49,24,99,17,2139,338,1,2,341,19,58,20,460,38,858,102,513,28,15,340,46,2497,0,0,14,0,6,20,491,928,129,535,385,12,,,13,,,,2493,0,0,21,0,3,24,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,Belmont,Ward,Croydon & Sutton,E05000557,"2,845","6,238",46%,Zac Goldsmith - The Conservative Party,699,1568,123,188,102,7,20,26,17,2,54,7,2813,0,0,13,0,19,32,321,319,421,557,418,29,71,71,58,20,160,20,2465,348,0,0,348,24,35,15,315,40,1321,178,544,29,4,220,81,2806,0,0,30,0,9,39,532,1431,199,367,257,17,,,5,,,,2808,0,0,28,0,9,37,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,Carshalton Central,Ward,Croydon & Sutton,E05000558,"3,096","6,678",46%,Zac Goldsmith - The Conservative Party,871,1302,167,424,153,12,16,34,16,3,42,12,3052,0,0,16,1,27,44,363,289,497,691,417,49,70,82,68,24,180,15,2745,306,1,0,307,34,51,17,675,24,980,232,620,21,5,328,83,3070,0,0,20,2,3,25,585,1043,294,769,353,12,,,11,,,,3067,0,0,25,1,2,28,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,Carshalton South And Clockhouse,Ward,Croydon & Sutton,E05000559,"3,016","6,320",48%,Zac Goldsmith - The Conservative Party,730,1470,116,396,146,11,21,36,16,2,37,0,2981,0,0,14,0,21,35,292,357,418,748,412,51,66,87,64,30,127,20,2672,308,0,1,309,18,38,12,622,38,1158,180,535,18,7,303,67,2996,0,0,16,0,4,20,471,1219,223,725,324,8,,,17,,,,2987,0,0,26,1,1,28,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,Cheam,Ward,Croydon & Sutton,E05000560,"3,020","6,482",47%,Zac Goldsmith - The Conservative Party,692,1720,93,248,107,4,26,36,20,3,21,1,2971,0,0,32,0,15,47,260,373,362,653,460,32,75,88,51,26,153,27,2560,411,0,0,411,20,47,16,437,29,1469,131,476,27,8,268,46,2974,0,0,37,1,8,46,448,1535,184,475,308,14,,,13,,,,2977,0,0,38,1,3,42,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,Nonsuch,Ward,Croydon & Sutton,E05000561,"3,172","6,815",47%,Zac Goldsmith - The Conservative Party,726,1603,100,340,200,22,24,47,17,3,32,6,3120,0,0,22,0,30,52,255,350,425,698,476,68,79,113,70,24,151,21,2730,386,1,3,390,25,57,29,539,28,1247,147,551,23,8,432,63,3149,0,0,18,1,3,22,518,1321,203,594,480,12,,,17,,,,3145,0,0,24,1,1,26,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,St Helier,Ward,Croydon & Sutton,E05000562,"1,987","7,012",28%,Sadiq Aman Khan - Labour Party,709,564,69,196,225,20,22,75,18,3,15,22,1938,0,0,12,2,35,49,236,220,172,291,253,68,79,94,39,21,89,23,1585,343,0,10,353,15,82,29,258,15,407,88,640,24,10,355,33,1956,0,0,17,0,14,31,616,390,118,335,456,28,,,19,,,,1962,0,0,20,0,5,25,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,Stonecot,Ward,Croydon & Sutton,E05000563,"2,914","6,909",42%,Zac Goldsmith - The Conservative Party,825,1361,92,224,209,18,21,47,16,11,35,2,2861,0,0,17,0,35,52,306,328,355,517,471,65,78,124,53,21,134,14,2466,394,0,1,395,30,71,30,363,29,1030,129,683,29,5,424,59,2882,0,0,17,0,15,32,654,1109,171,432,480,12,,,26,,,,2884,0,0,23,3,4,30,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,Sutton Central,Ward,Croydon & Sutton,E05000564,"2,624","7,039",37%,Sadiq Aman Khan - Labour Party,948,826,155,318,173,10,26,49,25,3,32,19,2584,0,0,13,1,26,40,359,271,375,537,263,46,83,74,71,27,162,23,2291,292,1,0,293,28,52,18,460,34,637,208,783,28,9,266,72,2595,0,0,23,0,4,27,776,662,255,539,323,19,,,18,,,,2592,0,0,25,1,4,30,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,Sutton North,Ward,Croydon & Sutton,E05000565,"2,599","6,473",40%,Zac Goldsmith - The Conservative Party,730,1070,95,318,217,18,14,39,14,2,28,12,2557,0,0,9,0,33,42,255,295,334,521,392,53,64,113,62,29,121,26,2265,291,1,0,292,19,52,21,448,22,824,150,560,22,9,387,56,2570,0,0,16,1,12,29,563,894,173,510,407,12,,,17,,,,2576,0,0,19,0,4,23,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,Postal Votes - Sutton,Postal,Croydon & Sutton,E09000029 (Postal),"18,008","24,200",74%,Zac Goldsmith - The Conservative Party,4146,8387,575,2446,1224,123,154,442,69,20,221,83,17890,0,5,47,2,64,118,1984,2039,1977,4358,2631,401,470,1030,265,143,939,126,16363,1521,1,5,1527,193,538,132,3431,229,6755,735,3326,189,56,2015,308,17907,0,5,32,1,30,68,3167,7330,1026,3677,2436,131,,,131,,,,17898,0,2,44,1,16,63,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
Sutton,Sutton South,Ward,Croydon & Sutton,E05000566,"2,400","6,004",40%,Zac Goldsmith - The Conservative Party,720,983,125,309,101,11,28,20,13,4,33,19,2366,0,0,13,0,21,34,283,275,320,513,251,33,75,72,49,23,154,31,2079,286,0,1,287,24,34,12,482,37,774,168,550,23,7,198,68,2377,0,1,15,0,7,23,527,886,192,513,223,20,,,11,,,,2372,0,0,24,0,4,28,Marina Ahmad,Stephen John O'connell,Tracey Jo Hague,Amna Ahmad,Peter Staveley,Madonna Beatrice Lewis,,,Richard  Edmonds,,,
